date,category_id,price
2019-10-01,2053013552570040549,277195.06
2019-10-01,2053013552603594983,93082.43
2019-10-01,2053013552695869677,131087.33
2019-10-01,2053013553341792533,6368364.48
2019-10-01,2053013553945772349,769177.93
2019-10-01,2053013554415534427,11787526.57
2019-10-01,2053013554474254687,70869.79
2019-10-01,2053013554499420513,149802.2
2019-10-01,2053013554591695207,445173.96
2019-10-01,2053013554658804075,3105133.51
2019-10-01,2053013555531219353,33032.56
2019-10-01,2053013555573162395,248996.25
2019-10-01,2053013555631882655,169463105.79
2019-10-01,2053013557603205653,230964.82
2019-10-01,2053013557670314521,364030.67
2019-10-01,2053013560497275585,332125.2
2019-10-01,2053013560530830019,467536.9
2019-10-01,2053013561059312345,288531.67
2019-10-01,2053013561579406073,5512579.05
2019-10-01,2172371436436455782,2759439.53
2019-10-02,2053013552570040549,324179.81
2019-10-02,2053013552603594983,93526.29
2019-10-02,2053013552695869677,131727.41
2019-10-02,2053013553341792533,6206759.44
2019-10-02,2053013553945772349,769975.92
2019-10-02,2053013554415534427,11591228.8
2019-10-02,2053013554474254687,68163.82
2019-10-02,2053013554499420513,174434.98
2019-10-02,2053013554591695207,403491.27
2019-10-02,2053013554658804075,3014625.29
2019-10-02,2053013555531219353,33209.4
2019-10-02,2053013555573162395,236896.97
2019-10-02,2053013555631882655,165627469.41
2019-10-02,2053013557603205653,230258.57
2019-10-02,2053013557670314521,333993.59
2019-10-02,2053013560497275585,377353.71
2019-10-02,2053013560530830019,434111.69
2019-10-02,2053013561059312345,274384.29
2019-10-02,2053013561579406073,5523594.36
2019-10-02,2172371436436455782,2426755.51
2019-10-03,2053013552570040549,267576.23
2019-10-03,2053013552603594983,58208.37
2019-10-03,2053013552695869677,58829.95
2019-10-03,2053013553341792533,6365846.19
2019-10-03,2053013553945772349,644614.66
2019-10-03,2053013554415534427,11042142.39
2019-10-03,2053013554474254687,60755.51
2019-10-03,2053013554499420513,132750.72
2019-10-03,2053013554591695207,387044.27
2019-10-03,2053013554658804075,3002195.27
2019-10-03,2053013555531219353,28576.62
2019-10-03,2053013555573162395,233106.95
2019-10-03,2053013555631882655,162017905.55
2019-10-03,2053013557603205653,170905.57
2019-10-03,2053013557670314521,265067.78
2019-10-03,2053013560497275585,274369.17
2019-10-03,2053013560530830019,447828.54
2019-10-03,2053013561059312345,250242.16
2019-10-03,2053013561579406073,4504981.01
2019-10-03,2172371436436455782,2598388.97
2019-10-04,2053013552570040549,309287.23
2019-10-04,2053013552603594983,99005.31
2019-10-04,2053013552695869677,112895.45
2019-10-04,2053013553341792533,7963244.01
2019-10-04,2053013553945772349,1127169.57
2019-10-04,2053013554415534427,16019361.13
2019-10-04,2053013554474254687,71181.04
2019-10-04,2053013554499420513,198309.61
2019-10-04,2053013554591695207,381414.56
2019-10-04,2053013554658804075,3923700.17
2019-10-04,2053013555531219353,32460.29
2019-10-04,2053013555573162395,219846.2
2019-10-04,2053013555631882655,197133394.88
2019-10-04,2053013557603205653,185787.12
2019-10-04,2053013557670314521,287430.12
2019-10-04,2053013560497275585,367440.14
2019-10-04,2053013560530830019,439138.39
2019-10-04,2053013561059312345,283261.0
2019-10-04,2053013561579406073,4542403.46
2019-10-04,2172371436436455782,3151816.35
2019-10-05,2053013552570040549,266349.65
2019-10-05,2053013552603594983,115092.54
2019-10-05,2053013552695869677,105576.09
2019-10-05,2053013553341792533,6567571.75
2019-10-05,2053013553945772349,1044939.11
2019-10-05,2053013554415534427,14387955.9
2019-10-05,2053013554474254687,85785.02
2019-10-05,2053013554499420513,195104.42
2019-10-05,2053013554591695207,369598.72
2019-10-05,2053013554658804075,3505261.44
2019-10-05,2053013555531219353,29118.29
2019-10-05,2053013555573162395,221543.01
2019-10-05,2053013555631882655,177663163.93
2019-10-05,2053013557603205653,253590.47
2019-10-05,2053013557670314521,374793.45
2019-10-05,2053013560497275585,218691.18
2019-10-05,2053013560530830019,407375.21
2019-10-05,2053013561059312345,265741.67
2019-10-05,2053013561579406073,4336773.34
2019-10-05,2172371436436455782,3052033.02
2019-10-06,2053013552570040549,292275.35
2019-10-06,2053013552603594983,103015.37
2019-10-06,2053013552695869677,92188.16
2019-10-06,2053013553341792533,6406347.45
2019-10-06,2053013553945772349,968326.91
2019-10-06,2053013554415534427,13516819.65
2019-10-06,2053013554474254687,78945.09
2019-10-06,2053013554499420513,191167.86
2019-10-06,2053013554591695207,471217.3
2019-10-06,2053013554658804075,3336048.06
2019-10-06,2053013555531219353,29106.27
2019-10-06,2053013555573162395,225418.62
2019-10-06,2053013555631882655,178544846.92
2019-10-06,2053013557603205653,204819.88
2019-10-06,2053013557670314521,251723.24
2019-10-06,2053013560497275585,328167.9
2019-10-06,2053013560530830019,490620.18
2019-10-06,2053013561059312345,274015.43
2019-10-06,2053013561579406073,4587104.18
2019-10-06,2172371436436455782,3086696.79
2019-10-07,2053013552570040549,269458.13
2019-10-07,2053013552603594983,91158.57
2019-10-07,2053013552695869677,96242.71
2019-10-07,2053013553341792533,5570729.33
2019-10-07,2053013553945772349,927831.21
2019-10-07,2053013554415534427,10565163.64
2019-10-07,2053013554474254687,113901.97
2019-10-07,2053013554499420513,132127.84
2019-10-07,2053013554591695207,431187.25
2019-10-07,2053013554658804075,3013401.84
2019-10-07,2053013555531219353,22193.37
2019-10-07,2053013555573162395,208816.01
2019-10-07,2053013555631882655,156201769.53
2019-10-07,2053013557603205653,208180.68
2019-10-07,2053013557670314521,267236.08
2019-10-07,2053013560497275585,269641.97
2019-10-07,2053013560530830019,419010.88
2019-10-07,2053013561059312345,294756.89
2019-10-07,2053013561579406073,4366850.31
2019-10-07,2172371436436455782,2516189.21
2019-10-08,2053013552570040549,277528.63
2019-10-08,2053013552603594983,73590.81
2019-10-08,2053013552695869677,93865.61
2019-10-08,2053013553341792533,5685782.06
2019-10-08,2053013553945772349,1403185.86
2019-10-08,2053013554415534427,11809701.29
2019-10-08,2053013554474254687,100676.96
2019-10-08,2053013554499420513,203252.03
2019-10-08,2053013554591695207,401631.27
2019-10-08,2053013554658804075,2906602.45
2019-10-08,2053013555531219353,32168.49
2019-10-08,2053013555573162395,235834.51
2019-10-08,2053013555631882655,156907033.57
2019-10-08,2053013557603205653,276299.12
2019-10-08,2053013557670314521,271747.94
2019-10-08,2053013560497275585,224190.19
2019-10-08,2053013560530830019,424546.68
2019-10-08,2053013561059312345,276010.27
2019-10-08,2053013561579406073,4956707.94
2019-10-08,2172371436436455782,2841319.69
2019-10-09,2053013552570040549,203173.31
2019-10-09,2053013552603594983,98981.09
2019-10-09,2053013552695869677,80072.13
2019-10-09,2053013553341792533,5616768.07
2019-10-09,2053013553945772349,1180102.34
2019-10-09,2053013554415534427,12232423.79
2019-10-09,2053013554474254687,116647.3
2019-10-09,2053013554499420513,149540.48
2019-10-09,2053013554591695207,381497.59
2019-10-09,2053013554658804075,3011246.75
2019-10-09,2053013555531219353,21830.53
2019-10-09,2053013555573162395,234888.86
2019-10-09,2053013555631882655,159251921.78
2019-10-09,2053013557603205653,274656.7
2019-10-09,2053013557670314521,283178.39
2019-10-09,2053013560497275585,307047.73
2019-10-09,2053013560530830019,400649.68
2019-10-09,2053013561059312345,490907.89
2019-10-09,2053013561579406073,4806001.48
2019-10-09,2172371436436455782,3184568.0
2019-10-10,2053013552570040549,219869.58
2019-10-10,2053013552603594983,83280.84
2019-10-10,2053013552695869677,177841.41
2019-10-10,2053013553341792533,5550857.5
2019-10-10,2053013553945772349,926639.32
2019-10-10,2053013554415534427,11882393.17
2019-10-10,2053013554474254687,93788.84
2019-10-10,2053013554499420513,217211.75
2019-10-10,2053013554591695207,360831.34
2019-10-10,2053013554658804075,3291738.83
2019-10-10,2053013555531219353,28969.17
2019-10-10,2053013555573162395,232468.89
2019-10-10,2053013555631882655,162993773.75
2019-10-10,2053013557603205653,239870.27
2019-10-10,2053013557670314521,304243.25
2019-10-10,2053013560497275585,292846.28
2019-10-10,2053013560530830019,437276.72
2019-10-10,2053013561059312345,528138.45
2019-10-10,2053013561579406073,4241536.51
2019-10-10,2134904980736311929,424.78
2019-10-10,2172371436436455782,2771499.09
2019-10-11,2053013552570040549,262279.45
2019-10-11,2053013552603594983,77204.8
2019-10-11,2053013552695869677,207798.79
2019-10-11,2053013553341792533,6328859.39
2019-10-11,2053013553945772349,897615.42
2019-10-11,2053013554415534427,14394973.11
2019-10-11,2053013554474254687,103201.86
2019-10-11,2053013554499420513,163899.57
2019-10-11,2053013554591695207,402610.78
2019-10-11,2053013554658804075,3654035.03
2019-10-11,2053013555531219353,35734.59
2019-10-11,2053013555573162395,246030.87
2019-10-11,2053013555631882655,178940281.81
2019-10-11,2053013557603205653,237835.46
2019-10-11,2053013557670314521,380008.19
2019-10-11,2053013560497275585,263652.01
