id,brand_name
999,a-case
1000,a-derma
1001,a-elita
1002,a-mega
1003,a-product
1004,a-toys
1005,aardwolf
1006,abaybooks
1007,abc
1008,abhika
1009,abk
1010,abris
1011,absolutechampion
1012,absolutenewyork
1013,abtoys
1014,abugarcia
1015,ac
1016,academie
1017,acana
1018,acase
1019,accademia
1020,accesstyle
1021,accoona
1022,accord
1023,accumaster
1024,acd
1025,acebeam
1026,acer
1027,aces
1028,achilles
1029,acm
1030,acme
1031,acnecontrolprofessional
1032,acoola
1033,acorp
1034,acorsa
1035,acqua
1036,acron
1037,actimel
1038,action
1039,actiontrack
1040,active
1041,activision
1042,acuvue
1043,acv
1044,acvilagrup
1045,acw
1046,adagio
1047,adal
1048,adam
1049,adamas
1050,adamex
1051,adata
1052,addlink
1053,adel
1054,adelline
1055,adenandanais
1056,adidas
1057,adil
1058,adile
1059,adili
1060,adking
1061,admarginem
1062,admira
1063,adora
1064,adrenaline
1065,adriatica
1066,adrilux
1067,advan
1068,aeg
1069,aenepure
1070,aeolus
1071,aero
1072,aerocool
1073,aeroforce
1074,aerolajf
1075,aerosystem
1076,afnan
1077,afox
1078,ag
1079,agatharuizdelaprada
1080,age
1081,agent
1082,agidel
1083,agl
1084,agness
1085,agnetha
1086,agrimotor
1087,agu
1088,agv
1089,aidini
1090,aiebao
1091,aiformaria
1092,aiken
1093,aiko
1094,aileron
1095,aimile
1096,aimoto
1097,ainibabe
1098,air-cool
1099,aircool
1100,airelec
1101,airex
1102,airjordan
1103,airline
1104,airmax
1105,airrower
1106,airselfie
1107,airwheel
1108,aist
1109,aivengo
1110,ajmal
1111,ajris-press
1112,akademiagrupp
1113,akademiaholding
1114,akai
1115,akara
1116,akciaeglo
1117,akebono
1118,akel
1119,akg
1120,akkord
1121,akku
1122,akom
1123,akor
1124,akpo
1125,akro
1126,aksina
1127,aksion
1128,akva
1129,akvafor
1130,akvalinia
1131,akvarel
1132,akvarobot
1133,akvaton
1134,akyoto
1135,al-ko
1136,aladen
1137,alaia
1138,alakaj
1139,alantex
1140,alaskaoriginale
1141,alavann
1142,alba
1143,albertm
1144,albertocasiano
1145,albino
1146,alborz
1147,alca
1148,alcasta
1149,alcon
1150,alctron
1151,aldit
1152,aleana
1153,alecord
1154,alerana
1155,alesis
1156,alessandrobosso
1157,alessio
1158,aletant
1159,aleteja
1160,alex
1161,alexandermcqueen
1162,alexandre.j
1163,alexika
1164,alexrojo
1165,alfa
1166,alfa-kniga
1167,alfreddunhill
1168,algotherm
1169,alienware
1170,alilo
1171,alinapaint
1172,alinco
1173,alinex
1174,alis
1175,alisa
1176,alissabeaute
1177,alita
1178,alkor
1179,alligator
1180,allocacoc
1181,alloywheels
1182,allvega
1183,almacom
1184,almada
1185,almaks
1186,almatv
1187,almaty
1188,alondra
1189,alpenhof
1190,alphaline
1191,alphard
1192,alpicool
1193,alpika
1194,alpina
1195,alpinapabliser
1196,alpine
1197,alpinistik
1198,alser
1199,altacto
1200,altair
1201,altajsina
1202,alteco
1203,altel
1204,altenzo
1205,alterna
1206,alternativa
1207,altex
1208,altinbasak
1209,altrad
1210,alumet
1211,alutec
1212,alvarez
1213,alveus
1214,alvitek
1215,alvo
1216,alza
1217,am-pm
1218,am.pm
1219,amalbooks
1220,amarobaby
1221,amatis
1222,amazfit
1223,amazon
1224,ambassador
1225,amberstone
1226,ambition
1227,amd
1228,amefa
1229,amega
1230,amen
1231,amercook
1232,americancrew
1233,americanmotionfitness
1234,amet
1235,amf
1236,amico
1237,amigami
1238,amiibo
1239,amiran
1240,amistar
1241,amos
1242,amouage
1243,amova
1244,ampeg
1245,ampm
1246,amra
1247,ams
1248,amsterdam
1249,amtel
1250,amur
1251,anahickmann
1252,anatomico
1253,and
1254,andeks
1255,andrea
1256,andreafontebasso
1257,andrewfuchs
1258,andromeda
1259,anelli
1260,anemone
1261,anesi
1262,anex
1263,angel
1264,angelcare
1265,angelteam
1266,angrybirds
1267,anhuitech
1268,annaanna
1269,annaite
1270,annalafarg
1271,annalafargemily
1272,annaluma
1273,annasui
1274,annchery
1275,annovireverberi
1276,anon
1277,anreks
1278,anskin
1279,ansmann
1280,ant
1281,anta
1282,antares
1283,antec
1284,antel
1285,antika
1286,antonio
1287,antoniolavazza
1288,anytek
1289,aoc
1290,aoki
1291,aolais
1292,aopen
1293,aorus
1294,aoteli
1295,apacer
1296,apache
1297,apart
1298,apc
1299,apcbyschneiderelectric
1300,apex
1301,aplus
1302,apocalypse
1303,apollo
1304,apple
1305,applegate
1306,appollo
1307,apriori
1308,aps
1309,aqoamarin
1310,aqua
1311,aquabeads
1312,aquael
1313,aquafit
1314,aquafresh
1315,aquafruit
1316,aquajet
1317,aqualife
1318,aquamarine
1319,aquanet
1320,aquapick
1321,aquarelle
1322,aquarodos
1323,aquastar
1324,aquatic
1325,aquaton
1326,aquaverso
1327,aquavis
1328,aquilon
1329,aqwella
1330,ara
1331,arai
1332,araton
1333,arb
1334,arba
1335,arcancil
1336,arcancilparis
1337,arcansil
1338,arco
1339,arcodoro
1340,arctic
1341,ardahali
1342,ardell
1343,ardesia
1344,ardesto
1345,ardin
1346,ardo
1347,ardoni
1348,areca
1349,arena
1350,areol
1351,aresa
1352,arg
1353,aria
1354,ariel
1355,ariete
1356,ariostea
1357,ariston
1358,ark
1359,arkade
1360,arkadia
1361,arktika
1362,arlem
1363,armada
1364,armaf
1365,armand
1366,armandbasi
1367,armani
1368,armatech
1369,armateh
1370,armmedia
1371,armos
1372,arms
1373,armytek
1374,arnica
1375,arno
1376,aromika
1377,aromir
1378,arpenaz
1379,arrivo
1380,arsi
1381,arstisa
1382,art-visage
1383,artberry
1384,artel
1385,artelamp
1386,artengo
1387,arteolfatto
1388,artesia
1389,artex
1390,artglass
1391,arthali
1392,artiny
1393,artmoon
1394,artmusical
1395,artplays
1396,artpostel
1397,artpostelka
1398,artspace
1399,arturia
1400,artvisage
1401,artway
1402,arua
1403,aruba
1404,aruna
1405,arwanan
1406,asb
1407,ascoli
1408,ascot
1409,asel
1410,ashleyfurniture
1411,asi
1412,asics
1413,asil
1414,askona
1415,asm
1416,asmrelaks
1417,aspandau
1418,aspekt
1419,asrock
1420,assorti
1421,ast
1422,astana
1423,astell
1424,aston
1425,astoria
1426,astrel
1427,astrid
1428,asu
1429,asus
1430,asustor
1431,asx
1432,atamra
1433,atelier
1434,ateliero
1435,aten
1436,ateox
1437,atk
1438,atkinsons
1439,atlant
1440,atlantic
1441,atlantmf
1442,atlas
1443,atmor
1444,atmosphera
1445,atoll
1446,atom
1447,atomic
1448,aton
1449,atra
1450,atrai
1451,ats
1452,attar
1453,attikus
1454,attribute
1455,audac
1456,audi
1457,audio-technica
1458,audiotop
1459,audison
1460,aufine
1461,augustinwelz
1462,aukia
1463,aula
1464,auldey
1465,aura
1466,auratic
1467,aurora
1468,ausini
1469,author
1470,autojet
1471,autoline
1472,autolite
1473,autopower
1474,autoprofi
1475,autotime
1476,autovirazh
1477,aux
1478,auza
1479,ava
1480,avalon
1481,avaloncarpet
1482,avangardplast
1483,avanta
1484,avatar
1485,avatyre
1486,avel
1487,avene
1488,avengers
1489,avent
1490,avermedia
1491,avid
1492,avina
1493,avionaut
1494,avis
1495,aviselectronics
1496,avitron
1497,avizor
1498,avrora
1499,avrorateksdizajn
1500,avs
1501,avtolider
1502,avtotent
1503,awei
1504,axe
1505,axis
1506,axiver
1507,axper
1508,aywiparts
1509,azbuka
1510,azbuka-attikus
1511,azbukvarik
1512,azzaro
1513,b-kids
1514,b.a.shop
1515,b.h.h
1516,b.well
1517,babalo
1518,babe
1519,babies
1520,babolat
1521,baboo
1522,babor
1523,baby
1524,babybjorn
1525,babyborn
1526,babybotte
1527,babybrezza
1528,babycare
1529,babycarrier
1530,babycim
1531,babygo
1532,babygrace
1533,babyhit
1534,babykiss
1535,babyline
1536,babyliss
1537,babylisspro
1538,babylock
1539,babymoov
1540,babyok
1541,babyono
1542,babys
1543,babysing
1544,babysinq
1545,babyswing
1546,babytime
1547,babywood
1548,babyzen
1549,babyzz
1550,bacchetta
1551,badboy
1552,baden
1553,badlandgames
1554,bafang
1555,bagdanoviceskijfarforyvyjzavod
1556,bagira
1557,baige
1558,bair
1559,baku
1560,bakugan
1561,baldessarini
1562,balenciaga
1563,ballarini
1564,ballist-x
1565,ballistix
1566,ballu
1567,balmain
1568,balta
1569,baltekstil
1570,balterio
1571,baltgaz
1572,bambi
1573,bambini
1574,bambino
1575,bambola
1576,bamboo
1577,bambuk-lev
1578,banbao
1579,bandai
1580,bandainamco
1581,bandainamcoentertainment
1582,banquet
1583,baobaohao
1584,baraka
1585,baratto
1586,barbie
1587,barcelona
1588,bardahl
1589,barer
1590,barettoni
1591,barhatnyjsezon
1592,barilla
1593,barkan
1594,barmila
1595,barneo
1596,barokko
1597,baron
1598,baroque
1599,barretoni
1600,bars
1601,bartek
1602,bartplast
1603,barty
1604,barum
1605,basaran
1606,baseus
1607,basf
1608,basharan
1609,basic
1610,basik
1611,basilico
1612,bassire
1613,bata
1614,batik
1615,batiste
1616,batman
1617,battat
1618,battipav
1619,baudet
1620,bauer
1621,baum
1622,bavaria
1623,baw
1624,bax
1625,bayce
1626,bayer
1627,bayerdolls
1628,bayerlux
1629,baymak
1630,bazhou
1631,bbh
1632,bbk
1633,bbs
1634,bbsky
1635,bburago
1636,bd
1637,bdsmaschinengmbh
1638,beaba
1639,beanzeez
1640,beats
1641,beauraing
1642,beautyblender
1643,beautycreations
1644,beautyfurs
1645,beautyvisage
1646,beauugreen
1647,bebeconfort
1648,becca
1649,becker
1650,beeline
1651,befirst
1652,behramhali
1653,behringer
1654,beijing
1655,beisier
1656,bekker
1657,beko
1658,bekzatsport
1659,bel
1660,bela
1661,belaakalitva
1662,belaavorona
1663,belashoff
1664,belavtokomplekt
1665,belcando
1666,belcat
1667,belecoo
1668,belezza
1669,belgia
1670,belis
1671,belisa
1672,beliss
1673,belissima
1674,belissimo
1675,belita
1676,belita-viteks
1677,belka
1678,belkin
